Time,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0.000,107,false,Rx,0,8,15,7C,E0,00,00,00,00,00
0.010,103,false,Rx,0,8,00,00,F0,00,00,00,00,00
0.020,104,false,Rx,0,8,00,00,90,00,00,00,00,00
0.030,174,false,Rx,0,8,00,03,E7,00,00,00,00,00
0.040,1B3,false,Rx,0,8,10,08,00,00,00,05,00,00
0.050,100,false,Rx,0,8,12,34,00,00,00,00,00,00
0.060,11A,false,Rx,0,8,C1,00,33,46,41,36,50,30
0.070,11A,false,Rx,0,8,C1,01,58,58,39,59,59,31
0.080,11A,false,Rx,0,8,C1,02,32,33,34,35,36,00
0.090,22A,false,Tx,0,8,00,00,00,00,01,01,00,01
0.100,27C,false,Tx,0,8,00,0C,00,00,00,00,00,00
